 Tax year/D'année d'imposition             , Grand total Source of Income /Total global #,Employment/Emploi # ,Fishing and Farming/ Pêche et Agriculture #,Professional income/Professions libérales #,Sales (self-employed)/Ventes (travail indép.) #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Investment/Placement #,Pension/Pension #,Benefit/Bénéficiaire #,Others/Autre #,Province, Grand total males/Total global hommes #,Grand total females/Total global femmes #,Grand total Male & Female/Total global total #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over total/Groupe d'âge : 75 et plus total #, Grand total Income class/Total global # ,4999 and under/Moins de 4 999 #,5000 - 9999 #,10000 - 14999 #,15000 - 19999 #,20000 - 24999 #,25000 - 29999 #,30000 - 34999 #,35000 - 39999 #,40000 - 44999 #,45000 - 49999 #,50000 - 54999 #,55000 - 59999 #,60000 - 69999 #,70000 - 79999 #,80000 - 89999 #,90000 - 99999 #,100000 - 149999 #,150000 - 249999 #,250000 and over/et plus #
2014,3083340,1994500,44490,11880,9540,108880,200150,374560,197900,141430,AB,1545830,1536710,3083340,69730,65270,135020,138670,131290,270070,163350,157960,321460,166180,162720,329050,148080,143970,292180,138180,131760,270010,129320,125620,254990,139130,137310,276460,130210,125270,255500,102280,100340,202630,78500,80300,158820,53140,56360,109510,89070,118550,207640,3083340,278130,150720,174240,212640,203520,170790,151240,146480,145630,132810,122380,110620,193280,160640,131160,115100,282440,137120,64410
2014,3657350,1952120,12750,24320,19360,199790,264170,690310,275680,218880,BC,1766620,1887850,3657350,66050,64350,130740,139050,137520,277770,146730,150580,297660,146110,154230,300570,132930,143100,276220,138030,150250,288500,147450,158250,305830,167330,176520,343910,160710,170650,331390,146530,154020,300590,128480,133870,262380,91810,96080,187900,155430,198440,353890,3657350,391140,223250,337010,326170,269080,215880,200680,198210,188100,163850,141100,123480,206080,166650,118930,90050,194210,72650,30830
2014,962620,541610,21240,4100,2960,36810,31580,185370,71490,67480,MB,468710,493090,962620,21850,21300,43230,44000,42700,87190,42350,42180,84650,40730,41210,81980,38210,39460,77700,38060,38620,76690,38130,38790,76930,43450,44020,87480,40430,40830,81270,34870,36590,71470,29160,31110,60270,20800,22680,43480,36690,53610,90300,962620,118000,61180,71970,82120,69300,61830,62820,57610,55600,45470,38800,33340,53850,40990,31120,20230,39970,12520,5920
2014,607350,329840,2630,1990,1050,17380,13370,154510,59920,26670,NB,294500,312710,607350,11650,11470,23130,21220,20990,42240,19890,20040,39960,20340,21670,42040,21580,23010,44610,23530,24690,48240,25160,25870,51040,29410,30180,59590,28970,29450,58430,26830,27960,54790,24170,24540,48710,16530,17140,33670,25220,35680,60910,607350,48180,47230,49680,67270,52760,46170,41890,39100,35310,27790,22720,18900,30420,23770,15690,10030,21570,6580,2310
2014,431030,229800,6550,1420,960,7370,6710,105880,55370,16970,NL,210340,220610,431030,8130,7890,16020,14430,14260,28710,14340,14650,29000,14540,15510,30060,15270,16200,31480,17240,17910,35150,19210,19700,38910,20820,21000,41830,20690,21120,41810,20230,20680,40900,17480,18080,35570,11580,11980,23560,16380,21650,38040,431030,32800,28300,41000,50830,34470,28810,26220,22700,22220,17780,15210,12790,20410,16030,13820,11100,24330,9300,2920
2014,149050,68120,340,2000,110,3720,22020,24770,280,27680,NR,82390,34840,149050,360,300,750,3330,1760,5460,7950,3060,11920,10300,3000,14560,10570,2630,14980,9910,2290,14680,7610,1940,12940,5950,1810,11810,4300,1710,10010,3660,2320,9620,5130,3730,11770,4880,3500,11190,8430,6780,19390,149050,59630,18040,16760,14500,11250,5740,3100,2120,1740,1400,1150,980,1650,1340,1200,940,3020,2230,2280
2014,742450,394640,5260,3150,1810,22050,26800,191750,59190,37800,NS,354600,387240,742450,13720,13970,27720,27290,27770,55270,25430,26390,52000,24080,26380,50570,24300,27020,51360,27120,29560,56690,29530,31580,61120,36070,37740,73820,34970,36530,71500,31670,33490,65160,29160,30540,59700,20110,21810,41920,31160,44460,75620,742450,64730,58060,56420,74470,63690,49440,48120,44860,42000,33910,28710,24910,39400,30930,24010,15660,29350,10050,3730
2014,31800,23340,30,110,10,870,460,2310,3160,1510,NT,16280,15520,31800,900,900,1800,1630,1600,3230,1880,1800,3690,1770,1830,3590,1480,1550,3030,1500,1380,2880,1500,1410,2900,1650,1560,3210,1380,1200,2590,1030,890,1920,720,560,1270,370,350,730,470,510,980,31800,3780,2090,1970,1990,1620,1300,1140,1110,1070,1000,940,840,1700,1690,1500,1510,4940,1320,300
2014,21240,14320,70,40,,190,120,1040,4630,840,NU,10640,10600,21240,720,800,1520,1420,1440,2860,1380,1530,2910,1270,1340,2610,1070,1090,2160,1040,980,2020,1010,940,1960,880,780,1660,680,630,1300,500,440,930,330,280,600,190,180,370,170,180,350,21240,3550,2420,1790,1490,1100,930,750,670,540,480,390,370,690,750,800,860,2740,830,110
2014,10368730,5705040,39590,77530,53340,516930,478940,1945040,893870,658450,ON,4967640,5387040,10368730,206860,207430,415610,422340,415500,842110,409700,423550,835200,396830,431150,829580,383840,426200,811260,409960,444440,855370,440380,467810,908920,496180,514360,1011100,444280,463060,907740,377140,404650,782140,330720,357120,688080,237570,262090,499820,411850,569680,981790,10368730,1117810,684220,924860,908550,735980,570130,548510,535600,528100,460280,396240,350480,583400,463800,362380,307450,573210,212050,105680
