CMA_or_CA,Filing_Method,Major_Source_of_Income,Total_Income_Range,Complexity,Count_of_Taxfilers
Abbotsford-Mission CMA,Efile,Employment,"Less than $25,000",Simple,"12,640"
Abbotsford-Mission CMA,Efile,Employment,"Between $25,000 and $49,999",Simple,"10,490"
Abbotsford-Mission CMA,Efile,Other,"Less than $25,000",Simple,"8,360"
Abbotsford-Mission CMA,Efile,Employment,"Between $50,000 and $99,999",Simple,"8,330"
Abbotsford-Mission CMA,Netfile,Employment,"Between $50,000 and $99,999",Simple,"6,610"
Abbotsford-Mission CMA,Netfile,Employment,"Between $25,000 and $49,999",Simple,"6,100"
Abbotsford-Mission CMA,Efile,Pension,"Less than $25,000",Simple,"5,480"
Abbotsford-Mission CMA,Netfile,Employment,"Less than $25,000",Simple,"5,310"
Abbotsford-Mission CMA,Efile,Employment,"Between $50,000 and $99,999",Complex,"4,180"
Abbotsford-Mission CMA,Efile,Employment,"Between $25,000 and $49,999",Complex,"3,030"
Abbotsford-Mission CMA,Efile,Pension,"Between $25,000 and $49,999",Simple,"2,880"
Abbotsford-Mission CMA,Netfile,Other,"Less than $25,000",Simple,"2,830"
Abbotsford-Mission CMA,Efile,Self-employment,"Less than $25,000",Complex,"2,650"
Abbotsford-Mission CMA,Efile,Pension,"Between $25,000 and $49,999",Complex,"2,410"
Abbotsford-Mission CMA,Netfile,Pension,"Less than $25,000",Simple,"2,280"
Abbotsford-Mission CMA,Paper,Employment,"Less than $25,000",Simple,"2,150"
Abbotsford-Mission CMA,Efile,Pension,"Less than $25,000",Complex,"2,060"
Abbotsford-Mission CMA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,"1,900"
Abbotsford-Mission CMA,Efile,Employment,"$100,000 and Above",Simple,"1,860"
Abbotsford-Mission CMA,Efile,Employment,"$100,000 and Above",Complex,"1,790"
Abbotsford-Mission CMA,Paper,Pension,"Less than $25,000",Simple,"1,640"
Abbotsford-Mission CMA,Efile,Employment,"Less than $25,000",Complex,"1,600"
Abbotsford-Mission CMA,Paper,Employment,"Between $25,000 and $49,999",Simple,"1,550"
Abbotsford-Mission CMA,Efile,No income,"Less than $25,000",Simple,"1,540"
Abbotsford-Mission CMA,Netfile,Employment,"Between $50,000 and $99,999",Complex,"1,520"
Abbotsford-Mission CMA,Efile,Investment,"Between $50,000 and $99,999",Complex,"1,460"
Abbotsford-Mission CMA,Netfile,Pension,"Between $25,000 and $49,999",Simple,"1,350"
Abbotsford-Mission CMA,Paper,Other,"Less than $25,000",Simple,"1,320"
Abbotsford-Mission CMA,Paper,Employment,"Between $50,000 and $99,999",Simple,"1,290"
Abbotsford-Mission CMA,Efile,Pension,"Between $50,000 and $99,999",Complex,"1,290"
Abbotsford-Mission CMA,Netfile,Employment,"$100,000 and Above",Simple,"1,260"
Abbotsford-Mission CMA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,"1,160"
Abbotsford-Mission CMA,Efile,Investment,"$100,000 and Above",Complex,"1,080"
Abbotsford-Mission CMA,Efile,Other,"Less than $25,000",Complex,900
Abbotsford-Mission CMA,Netfile,Employment,"Between $25,000 and $49,999",Complex,870
Abbotsford-Mission CMA,Efile,Investment,"Between $25,000 and $49,999",Complex,870
Abbotsford-Mission CMA,Paper,Pension,"Between $25,000 and $49,999",Simple,790
Abbotsford-Mission CMA,Efile,Pension,"Between $50,000 and $99,999",Simple,790
Abbotsford-Mission CMA,Netfile,No income,"Less than $25,000",Simple,720
Abbotsford-Mission CMA,Efile,Other,"Between $25,000 and $49,999",Simple,610
Abbotsford-Mission CMA,Efile,Investment,"Less than $25,000",Complex,580
Abbotsford-Mission CMA,Paper,No income,"Less than $25,000",Simple,560
Abbotsford-Mission CMA,Paper,Pension,"Less than $25,000",Complex,560
Abbotsford-Mission CMA,Netfile,Pension,"Between $25,000 and $49,999",Complex,550
Abbotsford-Mission CMA,Netfile,Self-employment,"Less than $25,000",Complex,550
Abbotsford-Mission CMA,Netfile,Employment,"$100,000 and Above",Complex,510
