City,Filing_Method,Marital_Status,Children_or_No_Children_Status,Age_Range,Count_of_Tax_Filers
Abbotsford-Mission ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Abbotsford-Mission ,Paper,Unstated,No Children Declared,18 and Under,0
Abbotsford-Mission ,Paper,Unstated,With Children Declared,26 - 64,0
Abbotsford-Mission ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Abbotsford-Mission ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Abbotsford-Mission ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Abbotsford-Mission ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Abbotsford-Mission ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Abbotsford-Mission ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Abbotsford-Mission ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Abbotsford-Mission ,Paper,Married or Living common-law,With Children Declared,65 and Older,20
Abbotsford-Mission ,Paper,Unstated,No Children Declared,19 - 25,20
Abbotsford-Mission ,Netfile,Married or Living common-law,With Children Declared,65 and Older,20
Abbotsford-Mission ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,20
Abbotsford-Mission ,Paper,Married or Living common-law,With Children Declared,19 - 25,30
Abbotsford-Mission ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,30
Abbotsford-Mission ,Paper,Unstated,No Children Declared,26 - 64,40
Abbotsford-Mission ,Paper,Unstated,No Children Declared,65 and Older,50
Abbotsford-Mission ,Efile,Married or Living common-law,With Children Declared,65 and Older,80
Abbotsford-Mission ,Paper,Married or Living common-law,No Children Declared,19 - 25,90
Abbotsford-Mission ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,130
Abbotsford-Mission ,Netfile,Married or Living common-law,With Children Declared,19 - 25,180
Abbotsford-Mission ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,240
Abbotsford-Mission ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,410
Abbotsford-Mission ,Efile,Married or Living common-law,With Children Declared,19 - 25,410
Abbotsford-Mission ,Netfile,Married or Living common-law,No Children Declared,19 - 25,500
Abbotsford-Mission ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,690
Abbotsford-Mission ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,750
Abbotsford-Mission ,Efile,Married or Living common-law,No Children Declared,19 - 25,790
Abbotsford-Mission ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1010
Abbotsford-Mission ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,1540
Abbotsford-Mission ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1760
Abbotsford-Mission ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1870
Abbotsford-Mission ,Paper,Married or Living common-law,With Children Declared,26 - 64,1920
Abbotsford-Mission ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,2140
Abbotsford-Mission ,Paper,Married or Living common-law,No Children Declared,65 and Older,2250
Abbotsford-Mission ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,2520
Abbotsford-Mission ,Paper,Married or Living common-law,No Children Declared,26 - 64,2810
Abbotsford-Mission ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,2960
Abbotsford-Mission ,Netfile,Married or Living common-law,No Children Declared,65 and Older,3300
Abbotsford-Mission ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,4010
Abbotsford-Mission ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,5930
Abbotsford-Mission ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,6950
Abbotsford-Mission ,Netfile,Married or Living common-law,No Children Declared,26 - 64,7420
Abbotsford-Mission ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,7420
Abbotsford-Mission ,Netfile,Married or Living common-law,With Children Declared,26 - 64,8220
Abbotsford-Mission ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,11250
Abbotsford-Mission ,Efile,Married or Living common-law,No Children Declared,65 and Older,11650
Abbotsford-Mission ,Efile,Married or Living common-law,No Children Declared,26 - 64,17340
Abbotsford-Mission ,Efile,Married or Living common-law,With Children Declared,26 - 64,20160
Alma ,Paper,Married or Living common-law,No Children Declared,18 and Under,0
Alma ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Alma ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
Alma ,Paper,Unstated,No Children Declared,18 and Under,0
Alma ,Paper,Unstated,No Children Declared,19 - 25,0
Alma ,Paper,Unstated,No Children Declared,65 and Older,0
Alma ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Alma ,Efile,Married or Living common-law,With Children Declared,65 and Older,0
Alma ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Alma ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Alma ,Paper,Married or Living common-law,With Children Declared,19 - 25,10
Alma ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,10
Alma ,Paper,Married or Living common-law,No Children Declared,19 - 25,20
Alma ,Paper,Unstated,No Children Declared,26 - 64,20
Alma ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
Alma ,Netfile,Married or Living common-law,With Children Declared,19 - 25,30
Alma ,Netfile,Married or Living common-law,No Children Declared,19 - 25,70
Alma ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,100
Alma ,Efile,Married or Living common-law,With Children Declared,19 - 25,100
Alma ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,110
Alma ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,120
Alma ,Efile,Married or Living common-law,No Children Declared,19 - 25,170
Alma ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,200
Alma ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,220
Alma ,Paper,Married or Living common-law,With Children Declared,26 - 64,320
Alma ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,420
Alma ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,540
Alma ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,540
Alma ,Paper,Married or Living common-law,No Children Declared,65 and Older,550
Alma ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,580
Alma ,Paper,Married or Living common-law,No Children Declared,26 - 64,630
